,county,population,median_home_value,median_gross_rent,median_age,household_income,per_capita_income,caucasian,african_american,native_american,asian,hispanic,state,county_fips_x,pop_density,state_num,percent_african_american,percent_caucasian,percent_asian,percent_native_american,percent_hispanic,republican
0,Washington,47086.0,74700.0,684.0,36.9,30834.0,19884.0,12097.0,33982.0,56.0,282.0,729.0,Mississippi,151,60.51053992600000,28,0.72170071783545,0.2569128828101771,0.005989041328632714,0.001189313171643376,0.015482308966571805,0.3116790490341753
1,Perry,12028.0,83700.0,622.0,40.9,39007.0,21611.0,9475.0,2368.0,0.0,17.0,181.0,Mississippi,111,18.49947674700000,28,0.1968739607582308,0.7877452610575324,0.0014133688061190555,0.0,0.01504822081809112,0.7612297496318114
2,Choctaw,8321.0,81600.0,540.0,44.0,37203.0,20589.0,5631.0,2596.0,23.0,15.0,33.0,Mississippi,19,19.63194311000000,28,0.3119817329647879,0.6767215478908785,0.0018026679485638746,0.0027640908544646074,0.003965869486840524,0.6858548585485855
3,Itawamba,23480.0,89500.0,665.0,40.0,40510.0,20629.0,21346.0,1681.0,75.0,57.0,360.0,Mississippi,57,43.90055046900000,28,0.07159284497444633,0.9091141396933561,0.0024275979557069846,0.0031942078364565587,0.015332197614991482,0.8698777857656362
4,Carroll,10129.0,89300.0,475.0,47.0,43060.0,22567.0,6523.0,3503.0,6.0,0.0,29.0,Mississippi,15,15.83186126300000,28,0.34583868101490767,0.643992496791391,0.0,0.0005923585743903643,0.0028630664428867607,0.6872286541244573
5,Grenada,21278.0,99700.0,647.0,39.8,36877.0,21668.0,11736.0,9238.0,135.0,23.0,140.0,Mississippi,43,49.17534836500000,28,0.43415734561518937,0.5515555973305761,0.0010809286587085253,0.006344581257636996,0.006579565748660588,0.5678683534671359
6,Jefferson,7346.0,62300.0,423.0,39.3,20188.0,13374.0,979.0,6310.0,11.0,33.0,28.0,Mississippi,63,13.44403667900000,28,0.8589708684998639,0.13326980669752247,0.0044922406751973865,0.0014974135583991288,0.0038115981486523277,0.12694300518134716
7,Greene,13714.0,80900.0,661.0,39.1,49447.0,17453.0,10054.0,3496.0,53.0,0.0,162.0,Mississippi,41,19.06169813900000,28,0.2549219775411988,0.7331194399883331,0.0,0.0038646638471634825,0.01181274609887706,0.8074129260569939
8,Marshall,35787.0,108000.0,692.0,40.2,41572.0,21352.0,17657.0,17134.0,15.0,24.0,1281.0,Mississippi,93,49.97839112300000,28,0.47877720960125186,0.4933914549976248,0.000670634587978875,0.0004191466174867969,0.03579512113337245,0.4438978367814543
9,Quitman,7372.0,52300.0,566.0,38.4,25510.0,15353.0,2027.0,5282.0,0.0,5.0,107.0,Mississippi,119,16.76988448200000,28,0.7164948453608248,0.2749593054801953,0.0006782419967444384,0.0,0.014514378730330983,0.2974739970282318
10,Bolivar,32592.0,94700.0,635.0,35.2,29912.0,17713.0,10803.0,20941.0,41.0,213.0,701.0,Mississippi,11,34.93710662100000,28,0.6425196367206677,0.3314617083946981,0.0065353460972017675,0.0012579774177712323,0.02150834560628375,0.33203125
11,Lamar,61223.0,170400.0,920.0,35.4,58188.0,28934.0,46763.0,12240.0,80.0,780.0,1601.0,Mississippi,73,127.53420101000000,28,0.19992486483837774,0.7638142528134851,0.012740310014210346,0.0013066984629959328,0.026150302990706108,0.7624837345478205
12,Lee,84915.0,131300.0,738.0,37.2,47978.0,25467.0,57379.0,24653.0,206.0,720.0,2228.0,Mississippi,81,189.87249178000000,28,0.29032561973738447,0.6757227816051345,0.008479067302596715,0.0024259553671318376,0.026238002708590943,0.6751131771640385
13,Pike,39737.0,91400.0,672.0,37.3,30910.0,17954.0,17695.0,21263.0,153.0,239.0,686.0,Mississippi,113,96.05456179400000,28,0.5350932380401138,0.44530286634622646,0.006014545637567003,0.0038503158265596298,0.017263507562221607,0.4910484365419988
14,Tallahatchie,14361.0,63500.0,504.0,34.6,30028.0,14943.0,5082.0,7089.0,22.0,206.0,1978.0,Mississippi,135,21.40189937700000,28,0.4936285773971172,0.35387507833716314,0.014344404985725229,0.0015319267460483254,0.1377341410765267,0.4194207836456559
15,Smith,16063.0,95400.0,572.0,40.1,41657.0,23164.0,12182.0,3706.0,0.0,69.0,270.0,Mississippi,129,25.01462249000000,28,0.23071655357031687,0.7583888439270373,0.0042955861296146425,0.0,0.016808815289796428,0.7772387570473318
16,Stone,18375.0,117800.0,686.0,37.5,44883.0,21931.0,14373.0,3544.0,66.0,0.0,373.0,Mississippi,131,41.15965934000000,28,0.19287074829931972,0.7822040816326531,0.0,0.0035918367346938775,0.020299319727891157,0.7531582682753726
17,Warren,47075.0,118600.0,703.0,38.8,43039.0,23793.0,22859.0,23138.0,105.0,241.0,1023.0,Mississippi,149,77.10902114100000,28,0.49151354221986193,0.48558682952735,0.005119490175252257,0.0022304832713754648,0.021731279872543814,0.5030387309435517
18,Clarke,15928.0,79700.0,625.0,42.1,39246.0,22422.0,10113.0,5696.0,10.0,0.0,66.0,Mississippi,23,22.47181510400000,28,0.35760924158714213,0.6349196383726771,0.0,0.0006278252134605726,0.004143646408839779,0.6593505326658965
19,Kemper,10107.0,71200.0,377.0,41.8,28176.0,15518.0,3571.0,6156.0,370.0,0.0,132.0,Mississippi,69,12.71498841900000,28,0.6090828138913624,0.35331948154744236,0.0,0.03660829128326902,0.013060255268625705,0.3832722569519293
20,Montgomery,10198.0,80000.0,544.0,42.1,33667.0,22913.0,5398.0,4428.0,0.0,34.0,135.0,Mississippi,97,24.01834485700000,28,0.4342027848597764,0.5293194744067464,0.003333987056285546,0.0,0.013237889782310257,0.5640512409927942
21,Oktibbeha,49481.0,161100.0,789.0,25.8,38800.0,22136.0,28538.0,18344.0,47.0,1546.0,818.0,Mississippi,105,108.21201709000000,28,0.3707281582829773,0.5767466300196035,0.03124431600008084,0.0009498595420464421,0.016531597987106163,0.4731847274332377
22,Pearl River,55149.0,128600.0,763.0,40.9,45820.0,23135.0,46341.0,7046.0,87.0,183.0,1673.0,Mississippi,109,68.45154097000000,28,0.12776296941014342,0.8402872218897894,0.0033182831964314857,0.0015775444704346406,0.030335998839507515,0.8125942512452589
23,Leake,22870.0,78500.0,627.0,36.6,33482.0,17960.0,11754.0,9608.0,1289.0,85.0,1035.0,Mississippi,79,39.09092975300000,28,0.420113686051596,0.5139484040227372,0.0037166593790992565,0.056362046348928725,0.04525579361609095,0.5659841401349273
